Feature_1,Feature_2,Interaction_Strength,Feature_1_Main,Feature_2_Main,Relative_Strength
bedrooms_filled,avg_review_score,0.6520763039588928,43.76520919799805,7.010324001312256,0.014899081184045525
bedrooms_filled,longitude,0.6464608311653137,43.76520919799805,4.215747833251953,0.014770775057093228
neighborhood_price_mean,avg_review_score,0.6246036291122437,26.205886840820312,7.010324001312256,0.023833568363387212
accommodates,has_elevator,0.6115396618843079,34.364131927490234,3.79388427734375,0.017795353242776566
latitude,listings_in_neighborhood,0.5877411961555481,6.78519344329834,0.8757445216178894,0.08660837641402161
bedrooms_filled,competition_intensity,0.5748299360275269,43.76520919799805,1.853543758392334,0.013134103834010388
neighborhood_price_mean,review_recency,0.5605586767196655,26.205886840820312,8.418960571289062,0.021389746906012863
bathrooms,distance_from_center,0.5548993945121765,12.385093688964844,19.5621280670166,0.044800193543389204
bedrooms_filled,review_recency,0.5318277478218079,43.76520919799805,8.418960571289062,0.01215156070327733
distance_from_center,avg_review_score,0.5311157703399658,19.5621280670166,7.010324001312256,0.027148816309975808
bedrooms_filled,booking_rate_proxy,0.523457407951355,43.76520919799805,5.119451999664307,0.011960309506890055
has_elevator,is_professional,0.5096115469932556,3.79388427734375,2.3869950771331787,0.13428908755814842
accommodates,latitude,0.5092885494232178,34.364131927490234,6.78519344329834,0.01481992126489742
accommodates,has_tv,0.508473813533783,34.364131927490234,5.453918933868408,0.014796213051259426
accommodates,has_dishwasher,0.5075440406799316,34.364131927490234,7.868259906768799,0.014769157346779282
accommodates,instant_bookable_num,0.4997856020927429,34.364131927490234,5.354153633117676,0.014543392504567739
amenity_count,instant_bookable_num,0.4836564064025879,5.688477516174316,5.354153633117676,0.08500893184437877
availability_365,instant_bookable_num,0.47792524099349976,8.74464225769043,5.354153633117676,0.05464724338263882
number_of_reviews,avg_review_score,0.46694961190223694,1.2860244512557983,7.010324001312256,0.3628133183069029
bathrooms_per_bedroom,neighborhood_price_mean,0.45927536487579346,2.0837700366973877,26.205886840820312,0.22030025220592667
distance_from_center,booking_rate_proxy,0.45244118571281433,19.5621280670166,5.119451999664307,0.02312724141880098
latitude,minimum_nights,0.4509275555610657,6.78519344329834,2.188474655151367,0.0664477898145353
amenity_count,superhost_num,0.4471428096294403,5.688477516174316,2.4219722747802734,0.07859119020301628
bedrooms_filled,availability_365,0.44561463594436646,43.76520919799805,8.74464225769043,0.010181705112462648
bedrooms_filled,latitude,0.4346373379230499,43.76520919799805,6.78519344329834,0.009930888369992326
bathrooms,avg_review_score,0.4342893660068512,12.385093688964844,7.010324001312256,0.03506265792206732
has_tv,neighborhood_price_mean,0.4303048849105835,5.453918933868408,26.205886840820312,0.0788838276292089
acceptance_rate_numeric,review_recency,0.42930328845977783,2.506903648376465,8.418960571289062,0.17118013634124055
response_time_score,review_recency,0.42860889434814453,3.4772212505340576,8.418960571289062,0.12322646073257545
availability_365,review_recency,0.41961827874183655,8.74464225769043,8.418960571289062,0.04798027021661533
amenity_count,superhost_high_rating,0.4166659414768219,5.688477516174316,1.3865630626678467,0.07323448247968363
latitude,neighborhood_encoded,0.4101276993751526,6.78519344329834,1.1173491477966309,0.06043560396589806
neighborhood_price_mean,booking_rate_proxy,0.40610936284065247,26.205886840820312,5.119451999664307,0.015496284061031212
amenity_count,distance_from_center,0.3844244182109833,5.688477516174316,19.5621280670166,0.06756761356699685
accommodates,superhost_num,0.3817848265171051,34.364131927490234,2.4219722747802734,0.01110965694305099
accommodates,listings_in_neighborhood,0.3753686547279358,34.364131927490234,0.8757445216178894,0.010922951074942951
has_tv,distance_from_center,0.3705172836780548,5.453918933868408,19.5621280670166,0.06792351786890789
has_dishwasher,superhost_high_rating,0.3630934953689575,7.868259906768799,1.3865630626678467,0.04614074254386236
instant_bookable_num,review_recency,0.35626670718193054,5.354153633117676,8.418960571289062,0.06652782190574023
bathrooms,booking_rate_proxy,0.3539661765098572,12.385093688964844,5.119451999664307,0.028577708630221056
availability_365,acceptance_rate_numeric,0.3461051881313324,8.74464225769043,2.506903648376465,0.03957458788426737
minimum_nights,instant_bookable_num,0.34536013007164,2.188474655151367,5.354153633117676,0.1577365279196456
neighborhood_price_mean,superhost_num,0.34528848528862,26.205886840820312,2.4219722747802734,0.013175486557632343
bedrooms_filled,has_elevator,0.33938321471214294,43.76520919799805,3.79388427734375,0.007754457626813771
has_dishwasher,latitude,0.33498474955558777,7.868259906768799,6.78519344329834,0.04256877438594299
accommodates,beds_per_bedroom,0.33432599902153015,34.364131927490234,0.9274015426635742,0.009728640056640888
avg_review_score,reviews_per_year,0.33167800307273865,7.010324001312256,1.1706703901290894,0.0473060441951707
avg_review_score,availability_365,0.3277326226234436,7.010324001312256,8.74464225769043,0.046743328729652825
accommodates,reviews_per_month,0.3234662413597107,34.364131927490234,4.875715255737305,0.009412629116111593
distance_from_center,neighborhood_encoded,0.31915217638015747,19.5621280670166,1.1173491477966309,0.016313964478832373
response_time_score,instant_bookable_num,0.31869542598724365,3.4772212505340576,5.354153633117676,0.09162597863442704
bathrooms,reviews_per_month,0.3172415792942047,12.385093688964844,4.875715255737305,0.025612722401482005
amenity_count,acceptance_rate_numeric,0.31461387872695923,5.688477516174316,2.506903648376465,0.0552974992576313
availability_365,response_time_score,0.31114664673805237,8.74464225769043,3.4772212505340576,0.03557733526825287
reviews_per_month,booking_rate_proxy,0.30944451689720154,4.875715255737305,5.119451999664307,0.063453472402997
number_of_reviews,review_recency,0.30929431319236755,1.2860244512557983,8.418960571289062,0.24031735596831702
accommodates,bedrooms_per_person,0.2990197241306305,34.364131927490234,2.08400297164917,0.00870125349035634
distance_from_center,acceptance_rate_numeric,0.29395854473114014,19.5621280670166,2.506903648376465,0.0150261524498607
availability_365,host_responsiveness,0.2931504547595978,8.74464225769043,0.843758225440979,0.03351960280582225
acceptance_rate_numeric,host_responsiveness,0.2907865047454834,2.506903648376465,0.843758225440979,0.11594803689277661
reviews_per_month,avg_review_score,0.2903933525085449,4.875715255737305,7.010324001312256,0.05954691575787742
has_dishwasher,availability_365,0.2873125374317169,7.868259906768799,8.74464225769043,0.03651074444555873
